model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
hiera_large_224.mae_in1k_ft_in1k,224,96.75,3.25,99.59,0.41,213.74,0.9,bicubic
hgnetv2_b5.ssld_stage2_ft_in1k,288,96.74,3.26,99.71,0.29,39.57,1.0,bicubic
flexivit_large.600ep_in1k,240,96.74,3.26,99.55,0.45,304.36,0.95,bicubic
efficientvit_l3.r384_in1k,384,96.74,3.26,99.45,0.55,246.04,1.0,bicubic
dm_nfnet_f4.dm_in1k,384,96.74,3.26,99.62,0.38,316.07,0.951,bicubic
volo_d2_384.sail_in1k,384,96.74,3.26,99.6,0.4,58.87,1.0,bicubic
maxvit_small_tf_384.in1k,384,96.73,3.27,99.59,0.41,69.02,1.0,bicubic
tf_efficientnetv2_l.in1k,480,96.73,3.27,99.55,0.45,118.52,1.0,bicubic
inception_next_base.sail_in1k_384,384,96.73,3.27,99.62,0.38,86.67,1.0,bicubic
vit_large_patch16_224.augreg_in21k_ft_in1k,224,96.72,3.28,99.64,0.36,304.33,0.9,bicubic
tf_efficientnet_b4.ns_jft_in1k,380,96.71,3.29,99.64,0.36,19.34,0.922,bicubic
tf_efficientnet_b8.ra_in1k,672,96.7,3.3,99.55,0.45,87.41,0.954,bicubic
beit3_base_patch16_224.indomain_in22k_ft_in1k,224,96.7,3.3,99.57,0.43,86.66,1.0,bicubic
convformer_s36.sail_in1k_384,384,96.7,3.3,99.58,0.42,40.01,1.0,bicubic
xcit_medium_24_p16_384.fb_dist_in1k,384,96.69,3.31,99.6,0.4,84.4,1.0,bicubic
eva02_small_patch14_336.mim_in22k_ft_in1k,336,96.69,3.31,99.61,0.39,22.13,1.0,bicubic
flexivit_large.300ep_in1k,240,96.69,3.31,99.58,0.42,304.36,0.95,bicubic
efficientvit_l2.r384_in1k,384,96.69,3.31,99.42,0.58,63.71,1.0,bicubic
mobilenetv4_conv_aa_large.e230_r448_in12k_ft_in1k,544,96.68,3.32,99.58,0.42,32.59,1.0,bicubic
efficientvit_l2.r288_in1k,288,96.68,3.32,99.53,0.47,63.71,1.0,bicubic
deit3_small_patch16_384.fb_in22k_ft_in1k,384,96.68,3.32,99.64,0.36,22.21,1.0,bicubic
swin_base_patch4_window7_224.ms_in22k_ft_in1k,224,96.67,3.33,99.66,0.34,87.77,0.9,bicubic
beit_base_patch16_224.in22k_ft_in22k_in1k,224,96.66,3.34,99.66,0.34,86.53,0.9,bicubic
hgnet_base.ssld_in1k,224,96.65,3.35,99.56,0.44,71.58,0.965,bicubic
cait_s36_384.fb_dist_in1k,384,96.64,3.36,99.6,0.4,68.37,1.0,bicubic
efficientvit_l3.r256_in1k,256,96.64,3.36,99.29,0.71,246.04,1.0,bicubic
xcit_large_24_p8_224.fb_dist_in1k,224,96.63,3.37,99.48,0.52,188.93,1.0,bicubic
