model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
beit_base_patch16_224.in22k_ft_in22k_in1k,224,60.1633,39.8367,75.38,24.62,86.53,0.9,bicubic
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,448,60.12,39.88,73.3167,26.6833,88.34,1.0,bicubic
hgnet_small.ssld_in1k,224,60.01,39.99,75.16,24.84,24.36,0.965,bicubic
convnext_small.fb_in22k_ft_in1k_384,384,59.9267,40.0733,74.2667,25.7333,50.22,1.0,bicubic
maxvit_large_tf_512.in1k,512,59.88,40.12,72.7967,27.2033,212.33,1.0,bicubic
convformer_s36.sail_in22k_ft_in1k_384,384,59.8667,40.1333,73.8567,26.1433,40.01,1.0,bicubic
tiny_vit_21m_512.dist_in22k_ft_in1k,512,59.56,40.44,74.6567,25.3433,21.27,1.0,bicubic
hgnetv2_b4.ssld_stage2_ft_in1k,224,59.5167,40.4833,74.9067,25.0933,19.8,0.965,bicubic
convnextv2_large.fcmae_ft_in1k,224,59.46,40.54,74.0233,25.9767,197.96,0.875,bicubic
swin_base_patch4_window7_224.ms_in22k_ft_in1k,224,59.3133,40.6867,73.9267,26.0733,87.77,0.9,bicubic
vit_base_patch16_224.augreg2_in21k_ft_in1k,224,59.2233,40.7767,73.6767,26.3233,86.57,0.9,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,288,59.18,40.82,72.97,27.03,93.59,0.95,bicubic
maxvit_base_tf_384.in1k,384,59.1667,40.8333,71.7067,28.2933,119.65,1.0,bicubic
vit_base_patch32_clip_224.laion2b_ft_in1k,224,59.01,40.99,73.87,26.13,88.22,0.9,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,320,58.9667,41.0333,72.7133,27.2867,93.59,1.0,bicubic
vit_betwixt_patch16_reg4_gap_256.sbb2_e200_in12k_ft_in1k,256,58.96,41.04,72.72,27.28,60.4,0.95,bicubic
tiny_vit_21m_384.dist_in22k_ft_in1k,384,58.9333,41.0667,73.9633,26.0367,21.23,1.0,bicubic
convformer_s36.sail_in22k_ft_in1k,224,58.8867,41.1133,72.8433,27.1567,40.01,1.0,bicubic
volo_d5_512.sail_in1k,512,58.7733,41.2267,73.1267,26.8733,296.09,1.15,bicubic
volo_d5_448.sail_in1k,448,58.6933,41.3067,72.9867,27.0133,295.91,1.15,bicubic
vit_large_r50_s32_224.augreg_in21k_ft_in1k,224,58.6933,41.3067,71.86,28.14,328.99,0.9,bicubic
convnext_small.in12k_ft_in1k_384,384,58.6367,41.3633,72.6433,27.3567,50.22,1.0,bicubic
nextvit_small.bd_ssld_6m_in1k,224,58.5867,41.4133,74.2267,25.7733,31.76,0.95,bicubic
vit_base_patch32_clip_384.openai_ft_in12k_in1k,384,58.56,41.44,73.2667,26.7333,88.3,0.95,bicubic
eva02_small_patch14_336.mim_in22k_ft_in1k,336,58.4433,41.5567,73.0267,26.9733,22.13,1.0,bicubic
maxvit_large_tf_384.in1k,384,58.4167,41.5833,71.1133,28.8867,212.03,1.0,bicubic
efficientvit_l3.r384_in1k,384,58.3433,41.6567,72.7033,27.2967,246.04,1.0,bicubic
deit3_large_patch16_384.fb_in1k,384,58.3233,41.6767,72.9533,27.0467,304.76,1.0,bicubic
vit_large_patch16_rope_mixed_224.naver_in1k,224,58.2833,41.7167,71.9733,28.0267,304.2,0.9,bicubic
hgnet_small.ssld_in1k,288,58.23,41.77,73.7533,26.2467,24.36,1.0,bicubic
vit_large_patch16_rope_224.naver_in1k,224,58.2133,41.7867,71.95,28.05,304.17,0.9,bicubic
vit_large_patch16_rope_mixed_ape_224.naver_in1k,224,58.1667,41.8333,72.2367,27.7633,304.4,0.9,bicubic
deit3_huge_patch14_224.fb_in1k,224,58.11,41.89,72.0633,27.9367,632.13,0.9,bicubic
convnextv2_large.fcmae_ft_in1k,288,58.0633,41.9367,72.56,27.44,197.96,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,224,57.97,42.03,71.6167,28.3833,93.59,0.875,bicubic
tf_efficientnet_b8.ap_in1k,672,57.8733,42.1267,72.9367,27.0633,87.41,0.954,bicubic
rdnet_large.nv_in1k_ft_in1k_384,384,57.8533,42.1467,71.7333,28.2667,186.27,1.0,bicubic
vit_large_patch16_rope_ape_224.naver_in1k,224,57.82,42.18,72.12,27.88,304.37,0.9,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,288,57.6767,42.3233,71.3767,28.6233,93.59,1.0,bicubic
convnext_small.fb_in22k_ft_in1k,288,57.6033,42.3967,72.4967,27.5033,50.22,1.0,bicubic
efficientvit_l3.r320_in1k,320,57.5967,42.4033,71.5567,28.4433,246.04,1.0,bicubic
hgnetv2_b4.ssld_stage1_in22k_in1k,224,57.55,42.45,72.9133,27.0867,19.8,0.965,bicubic
efficientvit_l3.r224_in1k,224,57.53,42.47,71.3633,28.6367,246.04,1.0,bicubic
vit_betwixt_patch16_reg4_gap_256.sbb_in12k_ft_in1k,256,57.5,42.5,71.5967,28.4033,60.4,0.95,bicubic
mvitv2_large.fb_in1k,224,57.4967,42.5033,70.76,29.24,217.99,0.9,bicubic
cait_m48_448.fb_dist_in1k,448,57.4333,42.5667,71.7867,28.2133,356.46,1.0,bicubic
cait_m36_384.fb_dist_in1k,384,57.4167,42.5833,72.3133,27.6867,271.22,1.0,bicubic
tf_efficientnet_b3.ns_jft_in1k,300,57.4,42.6,72.4267,27.5733,12.23,0.904,bicubic
