model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
convnextv2_huge.fcmae_ft_in1k,288,90.2364,9.7636,98.5503,1.4497,660.29,1.0,bicubic
vit_large_patch16_384.augreg_in21k_ft_in1k,384,90.2193,9.7807,98.6528,1.3472,304.72,1.0,bicubic
deit3_huge_patch14_224.fb_in22k_ft_in1k,224,90.215,9.785,98.6357,1.3643,632.13,1.0,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,480,90.2129,9.7871,98.7254,1.2746,118.52,1.0,bicubic
regnety_320.swag_ft_in1k,384,90.2107,9.7893,98.7723,1.2277,145.05,1.0,bicubic
nextvit_large.bd_ssld_6m_in1k_384,384,90.2107,9.7893,98.7937,1.2063,57.87,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in12k_in1k,384,90.2065,9.7935,98.6506,1.3494,86.86,0.95,bicubic
vit_base_patch16_clip_384.laion2b_ft_in1k,384,90.1915,9.8085,98.6976,1.3024,86.86,1.0,bicubic
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,384,90.1915,9.8085,98.6101,1.3899,196.74,1.0,bicubic
nextvit_base.bd_ssld_6m_in1k_384,384,90.1872,9.8128,98.8129,1.1871,44.82,1.0,bicubic
cait_m48_448.fb_dist_in1k,448,90.1808,9.8192,98.4798,1.5202,356.46,1.0,bicubic
volo_d3_448.sail_in1k,448,90.1787,9.8213,98.5418,1.4582,86.63,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in1k,224,90.1787,9.8213,98.5546,1.4454,632.05,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,384,90.1744,9.8256,98.5674,1.4326,86.86,1.0,bicubic
tf_efficientnet_b7.ns_jft_in1k,600,90.1595,9.8405,98.6058,1.3942,66.35,0.949,bicubic
beit_large_patch16_224.in22k_ft_in22k_in1k,224,90.1595,9.8405,98.7254,1.2746,304.43,0.9,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,288,90.1488,9.8512,98.7126,1.2874,101.66,1.0,bicubic
dm_nfnet_f6.dm_in1k,448,90.1232,9.8768,98.578,1.422,438.36,0.956,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,224,90.1125,9.8875,98.4371,1.5629,304.43,0.95,bicubic
vit_large_patch14_clip_224.laion2b_ft_in1k,224,90.104,9.896,98.5546,1.4454,304.2,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,288,90.0954,9.9046,98.6293,1.3707,350.2,1.0,bicubic
caformer_b36.sail_in1k_384,384,90.0677,9.9323,98.5161,1.4839,98.75,1.0,bicubic
swin_large_patch4_window12_384.ms_in22k_ft_in1k,384,90.0655,9.9345,98.6634,1.3366,196.74,1.0,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,288,90.0634,9.9366,98.6699,1.3301,88.72,1.0,bicubic
swin_base_patch4_window12_384.ms_in22k_ft_in1k,384,90.0634,9.9366,98.7104,1.2896,87.9,1.0,bicubic
convformer_s36.sail_in22k_ft_in1k_384,384,90.0485,9.9515,98.6272,1.3728,40.01,1.0,bicubic
cait_m36_384.fb_dist_in1k,384,90.0485,9.9515,98.4841,1.5159,271.22,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,288,90.0335,9.9665,98.6976,1.3024,93.59,1.0,bicubic
tiny_vit_21m_512.dist_in22k_ft_in1k,512,90.0314,9.9686,98.482,1.518,21.27,1.0,bicubic
tf_efficientnetv2_m.in21k_ft_in1k,480,90.0164,9.9836,98.6613,1.3387,54.14,1.0,bicubic
deit3_large_patch16_224.fb_in22k_ft_in1k,224,90.0079,9.9921,98.6613,1.3387,304.37,1.0,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,288,90.0079,9.9921,98.6891,1.3109,75.26,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,288,90.0058,9.9942,98.7126,1.2874,93.59,0.95,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,288,90.0015,9.9985,98.6314,1.3686,197.96,1.0,bicubic
vit_mediumd_patch16_reg4_gap_256.sbb2_e200_in12k_ft_in1k,256,90.0015,9.9985,98.6015,1.3985,64.11,0.95,bicubic
convnext_base.clip_laiona_augreg_ft_in1k_384,384,89.9994,10.0006,98.5482,1.4518,88.59,1.0,bicubic
vit_so150m_patch16_reg4_gap_256.sbb_e250_in12k_ft_in1k,256,89.993,10.007,98.6314,1.3686,134.13,0.95,bicubic
nextvit_small.bd_ssld_6m_in1k_384,384,89.9844,10.0156,98.7126,1.2874,31.76,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,224,89.9823,10.0177,98.5439,1.4561,197.96,0.875,bicubic
convnext_xlarge.fb_in22k_ft_in1k,224,89.978,10.022,98.578,1.422,350.2,0.875,bicubic
hiera_huge_224.mae_in1k_ft_in1k,224,89.978,10.022,98.3667,1.6333,672.78,0.9,bicubic
maxvit_base_tf_512.in1k,512,89.9716,10.0284,98.4435,1.5565,119.88,1.0,bicubic
vit_base_patch16_384.augreg_in21k_ft_in1k,384,89.9695,10.0305,98.6784,1.3216,86.86,1.0,bicubic
convnextv2_large.fcmae_ft_in1k,288,89.9609,10.0391,98.5482,1.4518,197.96,1.0,bicubic
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,224,89.9503,10.0497,98.4265,1.5735,116.14,0.95,bicubic
caformer_m36.sail_in1k_384,384,89.9417,10.0583,98.4478,1.5522,56.2,1.0,bicubic
convnext_small.fb_in22k_ft_in1k_384,384,89.9268,10.0732,98.6912,1.3088,50.22,1.0,bicubic
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,256,89.9182,10.0818,98.5055,1.4945,196.74,0.9,bicubic
regnety_160.swag_ft_in1k,384,89.9182,10.0818,98.64,1.36,83.59,1.0,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,224,89.9076,10.0924,98.6549,1.3451,101.66,1.0,bicubic
efficientnet_b5.sw_in12k_ft_in1k,448,89.9011,10.0989,98.5716,1.4284,30.39,1.0,bicubic
hgnet_base.ssld_in1k,288,89.899,10.101,98.5353,1.4647,71.58,1.0,bicubic
xcit_large_24_p8_384.fb_dist_in1k,384,89.8969,10.1031,98.3774,1.6226,188.93,1.0,bicubic
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,256,89.8926,10.1074,98.6592,1.3408,87.92,0.9,bicubic
convnext_large.fb_in22k_ft_in1k,288,89.8905,10.1095,98.6079,1.3921,197.77,1.0,bicubic
deit3_base_patch16_384.fb_in22k_ft_in1k,384,89.8883,10.1117,98.6015,1.3985,86.88,1.0,bicubic
vit_betwixt_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,89.8819,10.1181,98.4841,1.5159,60.6,1.0,bicubic
volo_d5_224.sail_in1k,224,89.8755,10.1245,98.4905,1.5095,295.46,0.96,bicubic
convnextv2_huge.fcmae_ft_in1k,224,89.8755,10.1245,98.4115,1.5885,660.29,0.875,bicubic
convnext_base.fb_in22k_ft_in1k,288,89.8734,10.1266,98.6976,1.3024,88.59,1.0,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,288,89.8584,10.1416,98.6272,1.3728,75.26,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k,224,89.8542,10.1458,98.5845,1.4155,56.2,1.0,bicubic
tiny_vit_21m_384.dist_in22k_ft_in1k,384,89.8478,10.1522,98.4969,1.5031,21.23,1.0,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,224,89.8392,10.1608,98.546,1.454,88.72,0.875,bicubic
efficientvit_l2.r384_in1k,384,89.835,10.165,98.1852,1.8148,63.71,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,224,89.8307,10.1693,98.5119,1.4881,197.77,0.875,bicubic
cait_s36_384.fb_dist_in1k,384,89.8286,10.1714,98.4307,1.5693,68.37,1.0,bicubic
convformer_m36.sail_in22k_ft_in1k,224,89.8264,10.1736,98.561,1.439,57.05,1.0,bicubic
coatnet_2_rw_224.sw_in12k_ft_in1k,224,89.8243,10.1757,98.5311,1.4689,73.87,0.95,bicubic
xcit_medium_24_p8_384.fb_dist_in1k,384,89.8093,10.1907,98.3667,1.6333,84.32,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,256,89.8051,10.1949,98.6549,1.3451,88.59,1.0,bicubic
maxvit_large_tf_512.in1k,512,89.8051,10.1949,98.3453,1.6547,212.33,1.0,bicubic
volo_d4_224.sail_in1k,224,89.7987,10.2013,98.4222,1.5778,192.96,0.96,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,224,89.7987,10.2013,98.5994,1.4006,75.26,0.965,bicubic
vit_mediumd_patch16_reg4_gap_256.sbb_in12k_ft_in1k,256,89.7965,10.2035,98.5204,1.4796,64.11,0.95,bicubic
vit_large_r50_s32_384.augreg_in21k_ft_in1k,384,89.7901,10.2099,98.5161,1.4839,329.09,1.0,bicubic
swin_large_patch4_window7_224.ms_in22k_ft_in1k,224,89.7859,10.2141,98.6485,1.3515,196.53,0.9,bicubic
volo_d2_384.sail_in1k,384,89.7837,10.2163,98.4072,1.5928,58.87,1.0,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,512,89.7837,10.2163,98.2941,1.7059,208.12,1.0,bicubic
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,224,89.7773,10.2227,98.4734,1.5266,73.88,0.95,bicubic
tf_efficientnet_b6.ns_jft_in1k,528,89.7709,10.2291,98.5268,1.4732,43.04,0.942,bicubic
caformer_s18.sail_in22k_ft_in1k_384,384,89.7624,10.2376,98.578,1.422,26.34,1.0,bicubic
beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,89.7581,10.2419,98.593,1.407,86.53,0.9,bicubic
xcit_small_24_p8_384.fb_dist_in1k,384,89.7517,10.2483,98.4201,1.5799,47.63,1.0,bicubic
vit_base_patch8_224.augreg2_in21k_ft_in1k,224,89.7517,10.2483,98.5161,1.4839,86.58,0.9,bicubic
caformer_s36.sail_in22k_ft_in1k,224,89.7474,10.2526,98.6528,1.3472,39.3,1.0,bicubic
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,224,89.741,10.259,98.4841,1.5159,116.09,0.95,bicubic
dm_nfnet_f4.dm_in1k,512,89.741,10.259,98.4051,1.5949,316.07,0.951,bicubic
regnety_160.lion_in12k_ft_in1k,288,89.7282,10.2718,98.6101,1.3899,83.59,1.0,bicubic
dm_nfnet_f5.dm_in1k,544,89.7282,10.2718,98.435,1.565,377.21,0.954,bicubic
convformer_m36.sail_in1k_384,384,89.7197,10.2803,98.4435,1.5565,57.05,1.0,bicubic
efficientvit_l3.r384_in1k,384,89.7197,10.2803,98.0144,1.9856,246.04,1.0,bicubic
volo_d1_384.sail_in1k,384,89.7111,10.2889,98.2898,1.7102,26.78,1.0,bicubic
caformer_s36.sail_in1k_384,384,89.6983,10.3017,98.3133,1.6867,39.3,1.0,bicubic
deit3_large_patch16_384.fb_in1k,384,89.6919,10.3081,98.4008,1.5992,304.76,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in1k,384,89.6898,10.3102,98.5161,1.4839,86.86,1.0,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,224,89.6855,10.3145,98.5567,1.4433,75.26,0.965,bicubic
convnext_base.clip_laion2b_augreg_ft_in1k,256,89.677,10.323,98.4756,1.5244,88.59,1.0,bicubic
convformer_b36.sail_in1k_384,384,89.6748,10.3252,98.3838,1.6162,99.88,1.0,bicubic
xcit_large_24_p16_384.fb_dist_in1k,384,89.6748,10.3252,98.4072,1.5928,189.1,1.0,bicubic
convnext_base.fb_in22k_ft_in1k,224,89.6748,10.3252,98.5418,1.4582,88.59,0.875,bicubic
nextvit_large.bd_ssld_6m_in1k,224,89.6684,10.3316,98.6336,1.3664,57.87,0.95,bicubic
tf_efficientnet_b5.ns_jft_in1k,456,89.662,10.338,98.4884,1.5116,30.39,0.934,bicubic
hgnetv2_b5.ssld_stage2_ft_in1k,288,89.6492,10.3508,98.4905,1.5095,39.57,1.0,bicubic
