model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
hgnetv2_b6.ssld_stage1_in22k_in1k,224,54.2868,45.7132,77.2918,22.7082,75.26,0.965,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,224,54.1649,45.8351,75.5645,24.4355,304.43,0.95,bicubic
convnextv2_large.fcmae_ft_in22k_in1k_384,384,53.9173,46.0827,76.0341,23.9659,197.96,1.0,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,224,53.8545,46.1455,76.995,23.005,75.26,0.965,bicubic
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,224,53.7837,46.2163,75.1597,24.8403,116.14,0.95,bicubic
resnext101_32x4d.fb_swsl_ig1b_ft_in1k,224,53.6462,46.3538,76.4075,23.5925,44.18,0.875,bilinear
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,384,53.4909,46.5091,75.7001,24.2999,86.86,1.0,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,288,53.1687,46.8313,76.1776,23.8224,75.26,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in1k,384,53.096,46.904,76.6826,23.3174,86.86,1.0,bicubic
regnety_160.swag_lc_in1k,224,53.0901,46.9099,78.1623,21.8377,83.59,0.965,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,288,53.0115,46.9885,76.0498,23.9502,75.26,1.0,bicubic
vit_so150m2_patch16_reg1_gap_256.sbb_e200_in12k_ft_in1k,256,52.9898,47.0102,74.9966,25.0034,136.06,1.0,bicubic
convnextv2_base.fcmae_ft_in22k_in1k_384,384,52.9191,47.0809,75.083,24.917,88.72,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k_384,384,52.8955,47.1045,74.9612,25.0388,99.88,1.0,bicubic
vit_large_patch16_384.augreg_in21k_ft_in1k,384,52.7992,47.2008,74.7352,25.2648,304.72,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k,224,52.7874,47.2126,75.2815,24.7185,98.75,1.0,bicubic
vit_so150m_patch16_reg4_gap_384.sbb_e250_in12k_ft_in1k,384,52.7599,47.2401,74.8335,25.1665,134.42,1.0,bicubic
convnext_large.fb_in22k_ft_in1k_384,384,52.7324,47.2676,74.7156,25.2844,197.77,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k,224,52.7265,47.2735,74.9081,25.0919,99.88,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,224,52.5674,47.4326,74.3894,25.6106,350.2,0.875,bicubic
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,384,52.4062,47.5938,73.8057,26.1943,73.88,1.0,bicubic
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,384,52.3158,47.6842,74.4129,25.5871,196.74,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,288,52.2077,47.7923,73.9138,26.0862,350.2,1.0,bicubic
mambaout_base_plus_rw.sw_e150_r384_in12k_ft_in1k,384,52.1115,47.8885,74.2695,25.7305,101.66,1.0,bicubic
vit_large_r50_s32_384.augreg_in21k_ft_in1k,384,52.0348,47.9652,73.5483,26.4517,329.09,1.0,bicubic
vit_large_patch16_224.augreg_in21k_ft_in1k,224,51.8324,48.1676,73.7036,26.2964,304.33,0.9,bicubic
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,224,51.8147,48.1853,74.6684,25.3316,86.57,0.95,bicubic
vit_so150m_patch16_reg4_gap_256.sbb_e250_in12k_ft_in1k,256,51.6516,48.3484,73.6348,26.3652,134.13,0.95,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,224,51.6497,48.3503,73.68,26.32,197.96,0.875,bicubic
convnext_base.fb_in22k_ft_in1k_384,384,51.5514,48.4486,74.5387,25.4613,88.59,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k_475,475,51.4119,48.5881,73.8136,26.1864,480.31,0.936,bicubic
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,224,51.1879,48.8121,73.1356,26.8644,116.09,0.95,bicubic
vit_base_patch16_clip_384.openai_ft_in12k_in1k,384,51.1604,48.8396,74.3461,25.6539,86.86,0.95,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,224,51.0562,48.9438,73.3223,26.6777,101.66,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k_384,384,51.0405,48.9595,73.4127,26.5873,56.2,1.0,bicubic
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,384,51.0071,48.9929,73.283,26.717,87.92,1.0,bicubic
vit_base_patch16_clip_224.openai_ft_in1k,224,50.9933,49.0067,74.8236,25.1764,86.57,0.9,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,384,50.8008,49.1992,72.7878,27.2122,208.12,1.0,bicubic
hgnetv2_b5.ssld_stage1_in22k_in1k,224,50.7791,49.2209,73.6485,26.3515,39.57,0.965,bicubic
seresnextaa201d_32x8d.sw_in12k_ft_in1k_384,384,50.7713,49.2287,73.6446,26.3554,149.39,1.0,bicubic
hgnetv2_b5.ssld_stage2_ft_in1k,224,50.6652,49.3348,73.6367,26.3633,39.57,0.965,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,224,50.5551,49.4449,72.7466,27.2534,88.72,0.875,bicubic
resnext50_32x4d.fb_swsl_ig1b_ft_in1k,224,50.5315,49.4685,73.3263,26.6737,25.03,0.875,bilinear
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,256,50.4726,49.5274,72.78,27.22,196.74,0.9,bicubic
swin_large_patch4_window12_384.ms_in22k_ft_in1k,384,50.3429,49.6571,72.5343,27.4657,196.74,1.0,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,288,50.2938,49.7062,72.9097,27.0903,101.66,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,288,50.1582,49.8418,72.3889,27.6111,197.96,1.0,bicubic
vit_mediumd_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,50.0816,49.9184,72.552,27.448,64.27,1.0,bicubic
hiera_huge_224.mae_in1k_ft_in1k,224,50.0776,49.9224,71.2374,28.7626,672.78,0.9,bicubic
convnext_large.fb_in22k_ft_in1k,288,49.9401,50.0599,72.2081,27.7919,197.77,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,224,49.9243,50.0757,72.2022,27.7978,197.77,0.875,bicubic
nextvit_large.bd_ssld_6m_in1k_384,384,49.7947,50.2053,72.835,27.165,57.87,1.0,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,512,49.7573,50.2427,72.1158,27.8842,208.12,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k,224,49.7082,50.2918,72.1374,27.8626,56.2,1.0,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,384,49.7062,50.2938,72.7387,27.2613,118.52,1.0,bicubic
vit_base_patch16_clip_224.openai_ft_in12k_in1k,224,49.6984,50.3016,72.8743,27.1257,86.57,0.95,bicubic
beit3_base_patch16_224.in22k_ft_in1k,224,49.6591,50.3409,72.7191,27.2809,86.66,1.0,bicubic
nextvit_base.bd_ssld_6m_in1k_384,384,49.6453,50.3547,72.6208,27.3792,44.82,1.0,bicubic
vit_mediumd_patch16_reg4_gap_256.sbb2_e200_in12k_ft_in1k,256,49.5667,50.4333,71.542,28.458,64.11,0.95,bicubic
beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,49.5235,50.4765,72.3968,27.6032,86.53,0.9,bicubic
resnet50.fb_swsl_ig1b_ft_in1k,224,49.5156,50.4844,72.3398,27.6602,25.56,0.875,bilinear
hgnet_base.ssld_in1k,224,49.3781,50.6219,71.5282,28.4718,71.58,0.965,bicubic
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,224,49.3486,50.6514,70.8365,29.1635,73.88,0.95,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,288,49.1619,50.8381,71.2335,28.7665,88.72,1.0,bicubic
convformer_m36.sail_in22k_ft_in1k_384,384,49.1285,50.8715,71.3848,28.6152,57.05,1.0,bicubic
vit_base_patch32_clip_224.laion2b_ft_in1k,224,49.0735,50.9265,72.5736,27.4264,88.22,0.9,bicubic
convformer_m36.sail_in22k_ft_in1k,224,49.0617,50.9383,71.4752,28.5248,57.05,1.0,bicubic
swin_large_patch4_window7_224.ms_in22k_ft_in1k,224,48.985,51.015,71.3789,28.6211,196.53,0.9,bicubic
convnext_base.fb_in22k_ft_in1k,288,48.9497,51.0503,71.7051,28.2949,88.59,1.0,bicubic
beit3_base_patch16_224.indomain_in22k_ft_in1k,224,48.8455,51.1545,71.5223,28.4777,86.66,1.0,bicubic
convnext_base.fb_in22k_ft_in1k,224,48.8043,51.1957,71.9134,28.0866,88.59,0.875,bicubic
hgnetv2_b5.ssld_stage1_in22k_in1k,288,48.8003,51.1997,71.5361,28.4639,39.57,1.0,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,480,48.7885,51.2115,72.0529,27.9471,118.52,1.0,bicubic
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,256,48.7826,51.2174,71.3769,28.6231,87.92,0.9,bicubic
coatnet_2_rw_224.sw_in12k_ft_in1k,224,48.761,51.239,70.1193,29.8807,73.87,0.95,bicubic
beit_base_patch16_384.in22k_ft_in22k_in1k,384,48.6962,51.3038,72.0942,27.9058,86.74,1.0,bicubic
hgnetv2_b5.ssld_stage2_ft_in1k,288,48.6569,51.3431,71.3789,28.6211,39.57,1.0,bicubic
convnextv2_huge.fcmae_ft_in1k,224,48.5822,51.4178,69.5416,30.4584,660.29,0.875,bicubic
swin_base_patch4_window12_384.ms_in22k_ft_in1k,384,48.5233,51.4767,71.8289,28.1711,87.9,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k_384,384,48.4781,51.5219,71.5086,28.4914,39.3,1.0,bicubic
tf_efficientnetv2_m.in21k_ft_in1k,384,48.4447,51.5553,71.8977,28.1023,54.14,1.0,bicubic
maxvit_base_tf_512.in1k,512,48.2462,51.7538,70.8444,29.1556,119.88,1.0,bicubic
vit_large_r50_s32_224.augreg_in21k_ft_in1k,224,48.2128,51.7872,70.8778,29.1222,328.99,0.9,bicubic
nextvit_large.bd_ssld_6m_in1k,224,48.0733,51.9267,71.145,28.855,57.87,0.95,bicubic
nextvit_base.bd_ssld_6m_in1k,224,48.0457,51.9543,70.7147,29.2853,44.82,0.95,bicubic
vit_mediumd_patch16_reg4_gap_256.sbb_in12k_ft_in1k,256,48.0143,51.9857,69.6712,30.3288,64.11,0.95,bicubic
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,384,47.9396,52.0604,70.9073,29.0927,88.3,1.0,bicubic
vit_base_patch8_224.augreg_in21k_ft_in1k,224,47.7726,52.2274,70.9839,29.0161,86.58,0.9,bicubic
tf_efficientnet_b7.ns_jft_in1k,600,47.7235,52.2765,69.6025,30.3975,66.35,0.949,bicubic
tf_efficientnet_b6.ns_jft_in1k,528,47.7078,52.2922,69.8972,30.1028,43.04,0.942,bicubic
deit3_base_patch16_384.fb_in22k_ft_in1k,384,47.6842,52.3158,69.7381,30.2619,86.88,1.0,bicubic
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,448,47.584,52.416,70.0584,29.9416,88.34,1.0,bicubic
hrnet_w48_ssld.paddle_in1k,224,47.5368,52.4632,69.3981,30.6019,77.47,0.95,bilinear
vit_base_patch8_224.augreg2_in21k_ft_in1k,224,47.4995,52.5005,70.3335,29.6665,86.58,0.9,bicubic
tf_efficientnetv2_m.in21k_ft_in1k,480,47.4582,52.5418,70.923,29.077,54.14,1.0,bicubic
hgnet_base.ssld_in1k,288,47.4209,52.5791,69.3215,30.6785,71.58,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k,800,47.4012,52.5988,69.8442,30.1558,480.31,0.96,bicubic
deit3_base_patch16_224.fb_in22k_ft_in1k,224,47.3698,52.6302,69.8167,30.1833,86.59,1.0,bicubic
tiny_vit_21m_512.dist_in22k_ft_in1k,512,47.2381,52.7619,70.0407,29.9593,21.27,1.0,bicubic
convformer_s36.sail_in22k_ft_in1k_384,384,47.1457,52.8543,69.4964,30.5036,40.01,1.0,bicubic
maxvit_large_tf_512.in1k,512,47.0573,52.9427,69.575,30.425,212.33,1.0,bicubic
convnextv2_huge.fcmae_ft_in1k,288,46.8844,53.1156,67.7789,32.2211,660.29,1.0,bicubic
convformer_s36.sail_in22k_ft_in1k,224,46.8765,53.1235,69.5514,30.4486,40.01,1.0,bicubic
