model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,320,66.0133,33.9867,87.8133,12.1867,93.59,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,224,65.9333,34.0667,87.28,12.72,197.96,0.875,bicubic
convnextv2_base.fcmae_ft_in22k_in1k_384,384,65.8133,34.1867,87.84,12.16,88.72,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in1k,224,65.6667,34.3333,87.84,12.16,632.05,1.0,bicubic
regnety_320.swag_lc_in1k,224,65.5467,34.4533,88.04,11.96,145.05,0.965,bicubic
volo_d3_448.sail_in1k,448,65.52,34.48,87.3733,12.6267,86.63,1.0,bicubic
vit_betwixt_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,65.3867,34.6133,88.3333,11.6667,60.6,1.0,bicubic
nextvit_large.bd_ssld_6m_in1k_384,384,65.3733,34.6267,88.5867,11.4133,57.87,1.0,bicubic
swin_base_patch4_window12_384.ms_in22k_ft_in1k,384,65.2933,34.7067,88.5867,11.4133,87.9,1.0,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,288,64.96,35.04,87.92,12.08,101.66,1.0,bicubic
efficientvit_l3.r384_in1k,384,64.8533,35.1467,87.04,12.96,246.04,1.0,bicubic
convnextv2_huge.fcmae_ft_in1k,288,64.5333,35.4667,87.1867,12.8133,660.29,1.0,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,480,64.52,35.48,87.6667,12.3333,118.52,1.0,bicubic
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,224,64.52,35.48,85.8667,14.1333,116.14,0.95,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,288,64.52,35.48,87.0667,12.9333,93.59,0.95,bicubic
convnext_xlarge.fb_in22k_ft_in1k,224,63.7867,36.2133,87.3867,12.6133,350.2,0.875,bicubic
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,256,63.4667,36.5333,87.6667,12.3333,87.92,0.9,bicubic
maxvit_large_tf_384.in1k,384,63.4,36.6,85.1867,14.8133,212.03,1.0,bicubic
